Registration date;Total usage time;Pets;Carpet score;Sent for repair;Failure date;Battery status;Impact status;IR status
2Mar2016;1841;0;2;NO;---;---;---;---
14Jun2015;752;0;3;NO;---;---;---;---
6Jun2015;1433;0;2;YES;18Nov2019;Damage;OK;OK
11Jul2016;476;1;3;YES;28Feb2017;OK;OK;Damage
3May2018;1997;1;2;NO;---;---;---;---
1Jan2015;987;0;2;NO;---;---;---;---
16Jan2016;247;0;4;YES;25Sep2016;OK;OK;Damage
31Aug2019;81;0;2;NO;---;---;---;---
18Aug2019;105;0;2;NO;---;---;---;---
2Sep2018;501;0;5;NO;---;---;---;---
31Aug2016;1355;0;2;YES;4Nov2019;Damage;OK;OK
29Jul2017;807;0;4;NO;---;---;---;---
20Sep2018;1196;1;1;NO;---;---;---;---
4Feb2018;644;0;4;NO;---;---;---;---
17Feb2018;927;1;3;NO;---;---;---;---
1Feb2016;1192;1;6;YES;19May2017;Damage;OK;OK
31Jan2016;891;0;3;NO;---;---;---;---
11Dec2016;911;0;2;NO;---;---;---;---
17Sep2019;157;1;2;NO;---;---;---;---
24Oct2019;116;1;4;NO;---;---;---;---
12Sep2018;1273;1;4;NO;---;---;---;---
31Aug2018;731;0;5;NO;---;---;---;---
5Sep2017;840;0;2;NO;---;---;---;---
5Jan2015;2393;0;2;NO;---;---;---;---
16Jan2018;913;0;2;NO;---;---;---;---
8Mar2019;201;0;4;NO;---;---;---;---
4Oct2018;894;1;1;NO;---;---;---;---
6Apr2017;2288;1;5;YES;9Sep2019;Damage;OK;OK
5Sep2017;1624;1;3;NO;---;---;---;---
8Sep2017;1511;1;3;NO;---;---;---;---
3Jan2015;292;0;4;YES;4Sep2016;Damage;OK;OK
11Oct2016;1933;1;3;NO;---;---;---;---
22Jan2018;935;0;2;NO;---;---;---;---
22Feb2019;797;1;2;NO;---;---;---;---
13Oct2016;1207;0;2;NO;---;---;---;---
19Jan2017;1020;0;3;NO;---;---;---;---
13Nov2017;1228;1;1;NO;---;---;---;---
12Dec2017;759;0;1;NO;---;---;---;---
7Aug2018;419;0;5;NO;---;---;---;---
22Dec2016;864;0;2;NO;---;---;---;---
6Aug2019;220;1;2;NO;---;---;---;---
24Oct2019;104;0;2;NO;---;---;---;---
2Mar2016;1127;0;2;NO;---;---;---;---
15Aug2018;999;1;4;NO;---;---;---;---
9Jul2019;210;0;4;NO;---;---;---;---
6Jan2018;373;0;4;NO;---;---;---;---
27Feb2018;638;0;6;NO;---;---;---;---
8Sep2019;124;0;2;NO;---;---;---;---
2Apr2019;352;1;1;NO;---;---;---;---
24Nov2017;1109;1;1;NO;---;---;---;---
8Feb2019;907;1;3;NO;---;---;---;---
27Jul2015;2659;1;4;YES;4Aug2017;Damage;OK;OK
27Oct2018;511;0;1;NO;---;---;---;---
12Feb2018;693;1;2;NO;---;---;---;---
29Sep2015;1719;0;7;NO;---;---;---;---
27May2015;1685;0;3;NO;---;---;---;---
27Apr2017;748;0;4;NO;---;---;---;---
24Nov2018;405;0;2;NO;---;---;---;---
1Sep2018;674;0;2;NO;---;---;---;---
1Feb2019;241;0;4;NO;---;---;---;---
7Nov2015;1427;0;2;NO;---;---;---;---
22Sep2019;181;1;3;NO;---;---;---;---
20Jun2016;2573;1;3;NO;---;---;---;---
30Sep2015;596;1;3;NO;---;---;---;---
6Aug2018;603;0;1;NO;---;---;---;---
14Aug2016;1296;0;1;NO;---;---;---;---
23Nov2018;390;0;3;NO;---;---;---;---
21Dec2016;957;0;4;YES;9Oct2019;Damage;OK;OK
24May2018;527;0;3;NO;---;---;---;---
17Nov2018;376;0;4;NO;---;---;---;---
10Dec2015;1893;0;1;NO;---;---;---;---
23Feb2015;1471;0;2;NO;---;---;---;---
5Sep2015;1338;0;4;YES;7Aug2019;Damage;OK;OK
26May2018;905;1;2;NO;---;---;---;---
3Sep2019;115;0;1;NO;---;---;---;---
2Oct2017;416;0;3;NO;---;---;---;---
3Jan2018;1382;0;3;NO;---;---;---;---
26Dec2015;1661;1;6;YES;17Jul2019;Damage;OK;OK
4Sep2017;1869;1;3;NO;---;---;---;---
24Nov2015;2248;0;1;YES;13Dec2019;Damage;OK;OK
5Apr2017;1264;0;1;NO;---;---;---;---
1Aug2016;2590;1;1;NO;---;---;---;---
1Aug2015;2306;1;3;YES;24Jan2019;Damage;OK;OK
6Dec2015;1362;0;3;NO;---;---;---;---
25Aug2018;444;0;2;NO;---;---;---;---
22Jan2017;1067;1;6;NO;---;---;---;---
26Jan2017;1978;1;2;NO;---;---;---;---
27May2017;712;0;4;NO;---;---;---;---
19Feb2017;885;1;4;NO;---;---;---;---
7Sep2015;1423;0;2;NO;---;---;---;---
14Feb2019;452;1;4;NO;---;---;---;---
17Dec2017;530;0;6;NO;---;---;---;---
21Dec2018;331;0;4;NO;---;---;---;---
5Nov2018;208;0;2;NO;---;---;---;---
4Aug2019;185;1;3;NO;---;---;---;---
25Apr2019;189;0;1;NO;---;---;---;---
1Aug2016;946;0;3;NO;---;---;---;---
18Apr2016;3566;1;2;NO;---;---;---;---
17Sep2018;314;0;2;NO;---;---;---;---
26Sep2018;662;1;2;NO;---;---;---;---
4Aug2019;154;0;3;NO;---;---;---;---
19Dec2018;393;0;2;NO;---;---;---;---
1Sep2015;3038;1;2;YES;31Oct2018;Damage;OK;OK
9Jun2016;1304;0;3;NO;---;---;---;---
22Dec2015;1409;0;2;NO;---;---;---;---
2Dec2018;407;0;2;YES;5Nov2019;OK;OK;Damage
24Aug2015;989;0;3;YES;30Oct2018;Damage;OK;OK
24Aug2015;2642;1;2;YES;28Jan2018;OK;Damage;OK
12May2015;2208;1;4;YES;3Jun2019;Damage;OK;OK
8Apr2015;1383;1;2;YES;30Sep2017;Damage;OK;OK
29Aug2017;625;0;4;NO;---;---;---;---
25Jul2015;1606;0;1;NO;---;---;---;---
19Sep2018;1117;1;3;NO;---;---;---;---
28Aug2018;485;0;6;NO;---;---;---;---
5Jun2019;267;1;1;NO;---;---;---;---
2Aug2017;1049;0;1;NO;---;---;---;---
5Apr2019;404;0;1;NO;---;---;---;---
19Mar2017;2362;1;3;NO;---;---;---;---
16Oct2015;1445;1;2;YES;14Nov2018;Damage;OK;OK
18Mar2017;1303;0;4;NO;---;---;---;---
3Nov2019;33;0;1;NO;---;---;---;---
3Jun2017;935;0;5;NO;---;---;---;---
5Apr2016;484;0;2;YES;14Oct2017;OK;OK;Damage
19Apr2016;1669;1;3;YES;26Feb2018;Damage;OK;OK
16Sep2017;713;1;5;YES;13Jul2018;Damage;OK;OK
1Apr2018;482;0;2;NO;---;---;---;---
6Sep2016;810;1;2;NO;---;---;---;---
22Apr2015;1947;0;4;YES;10Sep2019;OK;OK;OK
4Apr2017;849;0;1;NO;---;---;---;---
12Mar2019;254;0;2;NO;---;---;---;---
15Nov2017;1345;1;3;NO;---;---;---;---
7Oct2016;1758;0;3;NO;---;---;---;---
26Sep2017;536;0;1;NO;---;---;---;---
19Jun2019;293;1;4;NO;---;---;---;---
13Jun2017;798;0;3;NO;---;---;---;---
10Nov2015;990;0;3;NO;---;---;---;---
18Sep2017;818;0;1;NO;---;---;---;---
22Oct2019;126;1;4;NO;---;---;---;---
26Jul2016;1066;0;7;NO;---;---;---;---
7Feb2019;737;1;2;NO;---;---;---;---
14Jul2016;1373;0;4;YES;26Aug2019;Damage;OK;OK
5Dec2015;1391;0;3;NO;---;---;---;---
30Mar2015;1740;0;2;NO;---;---;---;---
24Mar2016;929;0;2;NO;---;---;---;---
3Oct2016;1302;0;2;NO;---;---;---;---
18Oct2015;1423;0;1;NO;---;---;---;---
9Jul2016;1156;0;5;NO;---;---;---;---
2Feb2015;2553;1;1;YES;19May2019;OK;Damage;OK
25Dec2019;7;0;4;NO;---;---;---;---
8Jan2019;944;1;4;NO;---;---;---;---
8Jun2015;1929;0;3;NO;---;---;---;---
8May2019;441;1;3;NO;---;---;---;---
9Oct2017;918;0;4;NO;---;---;---;---
8Feb2017;957;0;2;NO;---;---;---;---
4May2015;2491;1;5;YES;18Sep2018;Damage;OK;OK
22Oct2017;1098;0;6;NO;---;---;---;---
10May2015;702;0;2;NO;---;---;---;---
22Jan2016;472;0;3;YES;19Mar2017;OK;OK;Damage
30Sep2017;816;0;2;YES;7Oct2019;Damage;OK;OK
30May2017;1061;0;1;NO;---;---;---;---
19Oct2015;1054;1;3;YES;4Apr2018;Damage;OK;OK
1Oct2015;672;0;1;YES;25Dec2016;OK;OK;Damage
30Jun2017;1439;0;3;NO;---;---;---;---
14Sep2019;170;1;4;NO;---;---;---;---
2Sep2016;1237;0;2;NO;---;---;---;---
11Dec2015;1302;0;5;NO;---;---;---;---
7May2016;2083;1;5;YES;9May2019;Damage;OK;OK
27Aug2017;777;0;3;NO;---;---;---;---
9Feb2015;1450;0;2;YES;11Feb2018;Damage;OK;OK
29Dec2018;1033;1;5;NO;---;---;---;---
21Jul2015;1291;0;1;NO;---;---;---;---
12Sep2017;2301;1;6;NO;---;---;---;---
9Nov2017;836;0;6;NO;---;---;---;---
4Feb2018;1218;1;3;NO;---;---;---;---
29Jul2018;529;0;3;NO;---;---;---;---
14Aug2015;1871;0;1;NO;---;---;---;---
21Jul2016;332;0;2;YES;14Jun2017;OK;OK;Damage
23Sep2019;176;0;2;NO;---;---;---;---
2Jul2017;987;0;1;NO;---;---;---;---
4Sep2015;899;0;1;NO;---;---;---;---
7May2019;201;0;3;NO;---;---;---;---
10Jan2016;1295;0;3;NO;---;---;---;---
17Aug2019;110;0;2;NO;---;---;---;---
8Jun2019;150;0;3;NO;---;---;---;---
6Sep2015;3186;1;4;YES;22Dec2019;OK;Damage;OK
5Dec2018;516;0;5;NO;---;---;---;---
7Apr2017;400;1;2;NO;---;---;---;---
5Sep2015;1842;0;1;NO;---;---;---;---
5Jun2019;268;0;3;NO;---;---;---;---
6Sep2016;727;0;1;YES;3May2018;Damage;OK;OK
5Aug2016;956;0;2;NO;---;---;---;---
7Jan2017;618;0;1;NO;---;---;---;---
24May2017;1394;0;2;NO;---;---;---;---
2Nov2016;1510;0;2;NO;---;---;---;---
30Apr2017;339;0;2;NO;---;---;---;---
2Apr2015;921;0;2;NO;---;---;---;---
9Dec2015;1012;0;4;YES;29Dec2019;Damage;OK;OK
30Nov2019;36;1;1;NO;---;---;---;---
22Aug2016;1956;0;3;NO;---;---;---;---
9Nov2015;1988;0;6;YES;4Sep2019;Damage;OK;OK
10Jun2017;1036;0;1;NO;---;---;---;---
4Feb2015;1812;0;4;YES;9Sep2019;Damage;OK;OK
11Sep2016;1116;0;2;NO;---;---;---;---
24Feb2015;1362;0;3;NO;---;---;---;---
3May2019;158;0;5;YES;6Oct2019;OK;OK;Damage
29Aug2018;823;0;3;NO;---;---;---;---
29Jul2016;742;0;2;NO;---;---;---;---
6Dec2016;1539;0;4;NO;---;---;---;---
30Aug2016;1680;0;1;NO;---;---;---;---
13Jun2015;1328;0;4;YES;24Mar2019;Damage;OK;OK
14Oct2018;512;0;1;NO;---;---;---;---
6Jan2018;1224;1;1;NO;---;---;---;---
23Sep2015;853;0;3;NO;---;---;---;---
1Mar2015;2311;0;1;NO;---;---;---;---
2Jun2017;1061;0;2;NO;---;---;---;---
22Mar2017;1230;0;2;NO;---;---;---;---
21Apr2015;122;0;3;YES;11Jul2015;OK;OK;Damage
21Aug2016;2269;1;3;NO;---;---;---;---
24May2019;211;0;4;YES;23Nov2019;OK;OK;Damage
27Aug2019;285;1;2;NO;---;---;---;---
17Dec2016;1519;1;8;YES;4Sep2018;Damage;OK;OK
18Oct2015;1648;0;1;NO;---;---;---;---
7Aug2016;1297;0;1;NO;---;---;---;---
14Jul2016;910;0;1;NO;---;---;---;---
16Jul2015;2197;1;2;NO;---;---;---;---
24Nov2019;101;1;3;NO;---;---;---;---
26Jun2017;683;0;2;NO;---;---;---;---
19Jun2015;1548;0;3;YES;6Jun2019;OK;OK;Damage
22Jan2016;787;0;5;YES;5Mar2019;Damage;OK;OK
27Aug2019;283;1;1;NO;---;---;---;---
26Jun2016;2115;0;4;NO;---;---;---;---
7Apr2018;354;0;2;NO;---;---;---;---
4Jul2019;449;1;2;NO;---;---;---;---
15Dec2019;23;1;1;NO;---;---;---;---
24Feb2017;2938;1;2;NO;---;---;---;---
20Dec2016;853;0;1;YES;4Jun2019;Damage;OK;OK
17Sep2015;792;0;2;YES;5Dec2019;Damage;OK;OK
25May2016;943;0;3;NO;---;---;---;---
28Oct2017;743;0;2;NO;---;---;---;---
4Sep2019;121;0;4;NO;---;---;---;---
16Oct2016;1130;0;1;NO;---;---;---;---
18Mar2019;296;1;4;NO;---;---;---;---
12Aug2018;802;1;1;NO;---;---;---;---
2Oct2018;410;0;2;NO;---;---;---;---
15Aug2019;360;1;2;NO;---;---;---;---
5Jan2015;727;0;3;NO;---;---;---;---
20Oct2015;1121;0;1;NO;---;---;---;---
30Dec2016;621;0;1;NO;---;---;---;---
18May2018;870;0;2;NO;---;---;---;---
27May2017;688;0;2;NO;---;---;---;---
1Sep2017;2974;1;3;NO;---;---;---;---
1Aug2016;1356;0;5;YES;30May2019;Damage;OK;OK
27Jan2019;530;0;1;NO;---;---;---;---
17Jun2016;652;0;3;NO;---;---;---;---
17Jan2017;1016;0;5;NO;---;---;---;---
16Jun2015;1916;0;3;YES;5Jul2018;Damage;OK;OK
29Dec2018;862;1;2;NO;---;---;---;---
18Oct2016;1977;1;3;NO;---;---;---;---
15Mar2015;1405;0;3;NO;---;---;---;---
17Mar2015;2076;0;1;NO;---;---;---;---
9Oct2019;88;1;3;NO;---;---;---;---
12Nov2016;2822;1;2;YES;24Nov2019;OK;Damage;OK
12Jan2019;369;1;2;NO;---;---;---;---
20Jul2019;133;0;4;NO;---;---;---;---
14Mar2017;920;0;4;NO;---;---;---;---
18Nov2017;836;0;3;NO;---;---;---;---
15May2015;2236;0;1;NO;---;---;---;---
28Oct2015;1969;0;3;YES;18Dec2019;Damage;OK;OK
13Sep2018;430;0;2;NO;---;---;---;---
18May2017;705;1;3;YES;9Apr2019;Damage;OK;OK
5Jun2018;1764;1;3;NO;---;---;---;---
4Oct2019;94;1;3;NO;---;---;---;---
27Jun2017;2434;1;1;NO;---;---;---;---
9May2017;571;0;3;YES;9Mar2019;OK;OK;Damage
19Oct2017;747;0;3;NO;---;---;---;---
6Apr2018;1057;0;3;NO;---;---;---;---
25May2016;239;0;6;YES;10Jan2017;OK;OK;Damage
25Nov2019;41;0;2;NO;---;---;---;---
21Mar2018;972;0;1;NO;---;---;---;---
29Nov2017;623;0;2;NO;---;---;---;---
29Jan2018;1339;1;2;NO;---;---;---;---
17Aug2019;359;1;1;NO;---;---;---;---
13Dec2016;2402;1;3;YES;6Nov2019;OK;Damage;OK
9Jun2016;1954;1;3;NO;---;---;---;---
15Jun2015;1325;0;1;NO;---;---;---;---
11Aug2016;975;0;2;NO;---;---;---;---
16Oct2018;518;0;6;NO;---;---;---;---
10Jul2015;2936;1;1;NO;---;---;---;---
20Jul2018;701;0;3;YES;27Dec2019;Damage;OK;OK
31Oct2019;74;0;5;NO;---;---;---;---
3Jan2016;2043;1;2;NO;---;---;---;---
18Jul2015;682;1;1;YES;19May2016;OK;OK;Damage
12Apr2015;1609;0;2;NO;---;---;---;---
24Feb2019;292;0;6;NO;---;---;---;---
27Nov2017;777;0;3;NO;---;---;---;---
8May2017;1186;0;1;NO;---;---;---;---
28Oct2016;949;1;6;YES;12Jan2018;OK;OK;Damage
26May2016;2278;1;4;NO;---;---;---;---
31Dec2017;244;0;2;YES;4Sep2018;OK;OK;Damage
3Feb2019;570;1;2;NO;---;---;---;---
28Jun2015;258;0;2;YES;30Oct2018;Damage;OK;OK
26Oct2019;142;1;6;NO;---;---;---;---
5Nov2015;564;1;1;YES;22Oct2016;OK;OK;Damage
7Jun2015;542;0;2;YES;2Feb2019;Damage;OK;OK
22Apr2019;388;0;4;NO;---;---;---;---
16Aug2017;2149;1;1;NO;---;---;---;---
14Apr2018;547;0;2;NO;---;---;---;---
24Feb2016;857;0;3;NO;---;---;---;---
9Aug2018;426;1;5;NO;---;---;---;---
15Jun2017;1831;1;3;YES;8Feb2019;Damage;OK;OK
29Oct2019;83;0;5;NO;---;---;---;---
15Jul2019;364;1;4;NO;---;---;---;---
3Oct2017;985;0;5;NO;---;---;---;---
19May2015;2836;1;3;NO;---;---;---;---
11Feb2015;1446;1;1;YES;8Dec2016;Damage;OK;OK
26Jul2017;902;0;1;NO;---;---;---;---
25Feb2018;1230;1;2;NO;---;---;---;---
3Feb2017;1306;0;2;NO;---;---;---;---
25May2019;330;1;4;NO;---;---;---;---
17Jul2015;1555;0;1;NO;---;---;---;---
25Nov2019;31;0;1;NO;---;---;---;---
28Apr2016;1132;1;1;YES;12Nov2019;OK;OK;OK
3Jun2015;1348;0;4;YES;22Sep2018;Damage;OK;OK
5Dec2016;1659;0;2;NO;---;---;---;---
17Aug2015;1705;1;4;YES;5Jun2017;Damage;OK;OK
27Nov2017;1046;0;3;NO;---;---;---;---
14Mar2016;1152;1;1;YES;17Mar2018;OK;OK;Damage
11Aug2018;488;0;5;NO;---;---;---;---
24Sep2015;1867;0;5;YES;23Nov2019;Damage;OK;OK
7Oct2015;2613;1;1;YES;22Oct2019;Damage;OK;OK
18Apr2016;1112;0;2;YES;28Dec2018;Damage;OK;OK
21Nov2018;156;0;2;NO;---;---;---;---
17Feb2017;951;0;2;NO;---;---;---;---
20Apr2015;436;0;1;YES;12May2016;OK;OK;Damage
29Jul2015;2764;0;3;YES;14Dec2019;OK;Damage;OK
31May2017;841;0;4;NO;---;---;---;---
23Nov2019;44;0;5;NO;---;---;---;---
21Jan2019;431;0;3;NO;---;---;---;---
18Sep2017;277;0;3;NO;---;---;---;---
13May2015;1352;0;2;NO;---;---;---;---
1May2017;1363;0;4;NO;---;---;---;---
12Sep2016;1917;1;2;NO;---;---;---;---
13Jun2018;634;0;5;NO;---;---;---;---
27Jul2017;1013;0;2;NO;---;---;---;---
29Jul2017;702;0;1;NO;---;---;---;---
23Sep2017;1166;0;2;NO;---;---;---;---
28Mar2017;1020;0;3;NO;---;---;---;---
3Jun2015;1049;0;7;NO;---;---;---;---
26Aug2019;88;0;2;NO;---;---;---;---
31Jan2015;2017;1;3;YES;23Jan2017;Damage;OK;OK
26Jan2017;1890;1;3;YES;25Mar2019;OK;OK;Damage
19Feb2016;1815;0;2;NO;---;---;---;---
1Jul2015;1277;0;2;YES;23Jan2019;Damage;OK;OK
31May2017;1424;0;2;NO;---;---;---;---
2Apr2018;725;0;1;NO;---;---;---;---
10Aug2019;306;1;1;NO;---;---;---;---
24Oct2016;1553;0;3;NO;---;---;---;---
11Apr2019;208;0;3;NO;---;---;---;---
3Jul2016;2716;1;3;NO;---;---;---;---
30Apr2017;1275;0;5;NO;---;---;---;---
18Sep2015;1561;1;2;YES;22Feb2017;Damage;OK;OK
14Jan2019;492;0;2;NO;---;---;---;---
30Apr2018;458;0;5;NO;---;---;---;---
24Apr2015;2207;1;3;YES;6Feb2019;Damage;OK;OK
25Feb2017;922;0;2;NO;---;---;---;---
25Dec2016;1077;0;2;NO;---;---;---;---
26Jun2018;516;0;3;NO;---;---;---;---
18Apr2018;821;0;1;NO;---;---;---;---
13Jan2017;1179;0;2;YES;30Dec2019;Damage;OK;OK
14Jul2016;1379;1;3;YES;25Apr2018;Damage;OK;OK
10Apr2016;1468;1;2;YES;21Mar2019;Damage;OK;OK
13May2018;584;0;5;NO;---;---;---;---
22Jun2019;316;1;2;NO;---;---;---;---
25Mar2019;136;0;2;NO;---;---;---;---
18Dec2016;1228;0;5;NO;---;---;---;---
25May2015;1418;0;1;NO;---;---;---;---
21Feb2019;507;0;1;NO;---;---;---;---
14May2015;1438;0;3;NO;---;---;---;---
29Jul2015;2906;1;2;YES;23Jan2019;OK;Damage;OK
14Mar2018;947;0;1;NO;---;---;---;---
8Aug2016;1473;0;1;NO;---;---;---;---
11Dec2015;1149;0;1;NO;---;---;---;---
20Dec2016;573;0;2;NO;---;---;---;---
24Apr2019;308;0;3;NO;---;---;---;---
27Sep2016;503;0;5;YES;16Jul2018;Damage;OK;OK
3Jan2015;2932;1;3;YES;20Sep2019;OK;Damage;OK
23Jul2019;162;0;3;NO;---;---;---;---
4Oct2019;167;1;1;NO;---;---;---;---
15Jun2017;1242;0;4;NO;---;---;---;---
26Apr2017;1403;1;3;NO;---;---;---;---
25Dec2017;1587;1;2;NO;---;---;---;---
13Jul2019;225;0;2;NO;---;---;---;---
12Nov2015;1718;0;3;NO;---;---;---;---
6Dec2018;357;0;6;NO;---;---;---;---
1Mar2016;973;0;2;YES;18Apr2019;Damage;OK;OK
19Nov2017;1464;1;4;NO;---;---;---;---
16Mar2019;432;1;2;NO;---;---;---;---
30Aug2015;2710;0;4;NO;---;---;---;---
24Jun2019;156;0;1;NO;---;---;---;---
1Apr2017;892;0;1;NO;---;---;---;---
21Jun2019;201;0;3;NO;---;---;---;---
29Mar2016;487;0;5;NO;---;---;---;---
2Jun2015;1861;0;2;NO;---;---;---;---
30Mar2015;1473;0;5;YES;2Apr2018;OK;OK;Damage
25Nov2019;63;0;6;NO;---;---;---;---
3Jun2017;463;0;4;NO;---;---;---;---
24Mar2019;738;1;5;NO;---;---;---;---
30Jan2017;1114;0;3;NO;---;---;---;---
12Jun2017;1394;0;5;NO;---;---;---;---
1Dec2015;1436;0;3;NO;---;---;---;---
18Oct2018;659;0;2;NO;---;---;---;---
11Jul2016;262;0;3;NO;---;---;---;---
30Oct2015;1099;0;4;NO;---;---;---;---
1Mar2015;2231;0;2;YES;31Oct2019;Damage;OK;OK
7Sep2015;2047;0;2;NO;---;---;---;---
20Nov2015;1326;0;4;NO;---;---;---;---
6Aug2017;814;0;1;NO;---;---;---;---
21Jan2019;666;1;3;NO;---;---;---;---
30Jul2015;2489;1;3;YES;10Nov2017;Damage;OK;OK
20Jun2019;117;0;1;NO;---;---;---;---
16Nov2017;760;0;6;NO;---;---;---;---
25Sep2015;1463;0;2;NO;---;---;---;---
7Jul2019;266;0;4;NO;---;---;---;---
6Apr2016;1421;0;1;NO;---;---;---;---
2Oct2015;1572;0;4;NO;---;---;---;---
4Nov2018;349;0;3;NO;---;---;---;---
25Feb2016;616;0;1;YES;21Jun2019;OK;OK;OK
11Jul2016;917;0;3;YES;28Dec2018;Damage;OK;OK
4Aug2017;708;0;1;NO;---;---;---;---
2Sep2016;626;0;2;NO;---;---;---;---
9Oct2015;1519;0;4;NO;---;---;---;---
1May2016;1163;0;3;NO;---;---;---;---
2Oct2016;2355;1;2;NO;---;---;---;---
22Nov2017;1202;1;2;YES;3Jun2019;Damage;OK;OK
16Jan2019;777;1;1;NO;---;---;---;---
1Sep2019;219;1;3;NO;---;---;---;---
3Mar2019;400;0;1;NO;---;---;---;---
20Aug2015;2700;0;5;NO;---;---;---;---
31Mar2018;487;0;3;NO;---;---;---;---
14Jun2018;585;0;3;NO;---;---;---;---
28Feb2015;2070;0;2;YES;14Mar2019;OK;OK;OK
8Aug2019;195;0;1;NO;---;---;---;---
23May2017;2390;1;4;NO;---;---;---;---
1May2016;1550;1;3;YES;27Nov2019;Damage;OK;OK
